bus,name
92670,ACO150_B
92060,ARA150_B
92491,ARB150P1
92492,ARB150P2
92490,ARB150_B
92090,ART150_B
92550,BAY150_B
92710,BIF150_B
92790,BOB150_B
92540,BON150_B
90160,BRU500_B
4004,C.ELIA
92740,CGR150_B
92061,CLFAUX150_B
92692,COE1502P
92600,COL150_B
92690,CON150_B
90180,CR5_500_B
92940,DOL150_B
92531,DUR1501F
92532,DUR1502F
92681,EFI150_X
92440,EMA150_B
92050,FBE150_B
92660,FBEMER_X
92661,FBESJA_X
92520,FLO150_B
92091,JPT_150B
92485,LAD150_B
92620,LIB150_B
90100,MA5500_B
92730,MAL150_B
92460,MDI150_X
90480,ME5500_B
92481,MEB150P1
92482,MEB150P2
92480,MEB150_B
92450,MEL150_B
92611,MEN150_B
92640,MER150_B
90300,MI5500_B
92100,MVA150_B
92200,MVB150_B
90200,MVB500_B
92210,MVC150_B
92220,MVD1501X
92230,MVD1502X
92240,MVE1501B
92310,MVF150_B
92320,MVG150_B
92330,MVH1501B
92300,MVI150_B
92270,MVJ150_B
92340,MVK150_B
92124,MVL150B2
92141,MVLMVA_X
92142,MVLMVB_X
92180,MVM1501X
92350,MVR1501B
92360,MVR1502B
92110,NOR1501B
92111,NOR1502B
92650,NPA150_B
92500,PAL150_B
90500,PAL500_B
92411,PAM150_B
92770,PAN150_B
92771,PAN150_F
92030,PAY150_B
92721,PAZ1501B
92722,PAZ1502B
92830,PAZMAL_X
92780,PAZSCA_X
92562,PBE150BX
92561,PBE150RX
101,PES150_B
92510,PIA150_B
92910,PIB150_B
92280,PIE150_B
92524,POL150_B
92131,PRO1501X
92132,PRO1502X
92400,RIV150_B
92760,ROC150_B
92580,ROD150_B
92610,ROS150_B
92040,SAL150_B
90700,SC5500_B
92700,SCA150_B
92801,SCAMAL1X
92810,SCAMAL2X
92791,SCAROC_X
4000,SGDE.ARG
90080,SJ5500_B
92080,SJA150_B
92380,SOL150_B
92470,STE150_B
92000,SU5150_B
90000,SU5500_B
92630,SVA150_B
92412,TAB150_B
92410,TAC150_B
92070,TGO150_B
92590,TRI150_B
92430,TYT150_B
92420,VAL150_B
92020,YOU150_B
